start_time,normalized_power,avg_heart_rate,intensity_factor,ef
2024-09-09 15:26:19,217.09,116.21,0.654,1.8680836416831599
2024-09-10 13:31:13,250.4,155.39,0.754,1.6114293069052064
2024-09-14 14:17:12,276.45,144.18,0.833,1.9173949230129004
2024-09-16 08:37:13,202.83,131.69,0.611,1.540208064393652
2024-09-17 14:44:59,282.39,143.84,0.851,1.963223025583982
2024-09-18 10:40:22,217.37,132.44,0.655,1.641271519178496
2024-09-22 11:17:53,179.46,114.2,0.541,1.5714535901926445
2024-09-25 10:09:06,176.83,123.35,0.533,1.4335630320226997
2024-09-26 12:11:33,190.96,121.65,0.575,1.5697492807233868
2024-09-27 12:04:35,256.6,140.12,0.773,1.8312874678846705
2024-09-29 10:31:22,238.68,140.4,0.719,1.7
2024-10-01 14:40:40,271.64,141.86,0.818,1.9148456224446635
2024-10-05 12:58:17,207.16,130.64,0.624,1.585731781996326
2024-10-06 11:33:54,210.3,127.67,0.633,1.6472154774026788
2024-10-07 14:02:22,228.1,141.99,0.687,1.606451158532291
2024-10-09 10:08:14,286.28,152.47,0.862,1.877615268577425
2024-10-12 16:25:07,272.15,144.96,0.82,1.8774144591611477
2024-10-15 14:33:16,266.78,139.12,0.804,1.9176250718803907
2024-10-16 08:36:13,223.78,131.36,0.674,1.703562728380024
2024-10-17 14:13:33,254.85,138.78,0.768,1.8363597060095114
2024-10-19 11:34:45,227.23,135.91,0.684,1.6719152380251636
2024-10-20 17:14:33,178.82,113.98,0.539,1.5688717318827863
2024-10-21 13:14:13,211.48,130.43,0.637,1.6214061182243347
2024-10-22 12:30:46,233.52,135.8,0.703,1.7195876288659793
2024-10-24 17:01:00,266.65,146.57,0.803,1.81926724432012
2024-10-30 12:03:41,242.24,139.67,0.73,1.734373881291616
2024-11-01 08:48:56,224.83,147.29,0.677,1.526444429357051
2024-11-03 09:46:06,174.83,111.92,0.527,1.5620979270907793
2024-11-07 09:48:26,255.53,150.24,0.77,1.700812034078807
2024-11-10 11:30:33,229.29,129.53,0.691,1.7701690728016675
2024-11-13 17:12:17,285.44,151.32,0.86,1.8863335976738038
2024-11-14 15:59:46,239.59,0.0,0.722,inf
2024-11-16 17:04:16,234.97,0.0,0.708,inf
2024-11-18 13:23:47,285.82,0.0,0.861,inf
2024-11-30 14:27:59,169.64,0.0,0.511,inf
2024-12-05 16:33:46,286.16,0.0,0.862,inf
2024-12-08 13:57:42,268.98,0.0,0.81,inf
2025-01-21 14:02:12,209.57,141.5,0.631,1.4810600706713781
2025-01-25 12:58:07,215.7,137.45,0.65,1.5692979265187341
2025-02-04 10:04:48,213.24,135.46,0.642,1.574191643289532
2025-02-05 13:06:54,218.96,137.07,0.66,1.5974319690669003
2025-02-20 14:50:36,228.78,128.52,0.689,1.780112044817927
2025-02-22 08:08:04,235.47,142.96,0.709,1.6471040850587575
2025-02-24 09:30:50,174.15,112.19,0.525,1.5522773865763437
2025-03-02 10:11:49,206.5,125.95,0.622,1.6395394998015085
2025-03-05 15:29:57,283.36,149.78,0.853,1.8918413673387635
2025-03-06 13:59:57,224.07,125.75,0.675,1.781868787276342
2025-03-09 08:06:17,225.11,134.39,0.678,1.6750502269514103
2025-03-12 09:33:06,281.17,142.32,0.847,1.9756183249016304
2025-03-16 16:46:45,294.13,148.38,0.886,1.982275239250573
2025-03-17 10:36:48,247.65,143.53,0.746,1.7254232564620637
2025-03-18 12:33:20,195.75,118.79,0.59,1.6478659819850154
2025-03-20 13:31:04,211.03,123.05,0.636,1.7149939049167007
2025-03-24 16:40:19,273.57,127.21,0.824,2.1505384796792706
2025-03-27 15:12:47,236.83,127.86,0.713,1.8522602846863758
2025-03-28 12:34:13,239.77,128.54,0.722,1.8653337482495722
2025-03-29 10:59:33,282.84,153.01,0.852,1.8485066335533624
2025-03-31 15:00:28,230.35,128.18,0.694,1.7970822281167107
2025-04-02 13:15:19,241.73,132.09,0.728,1.830040124157771
2025-04-03 12:57:01,225.29,123.27,0.679,1.8276141802547254
2025-04-04 15:52:58,268.43,136.04,0.809,1.9731696559835343
2025-04-07 09:43:48,247.99,131.33,0.747,1.8882966572755653
2025-04-08 16:03:45,197.45,116.49,0.595,1.6949952785646836
2025-04-10 14:21:49,216.05,121.47,0.651,1.7786284679344695
2025-04-11 11:34:55,205.53,117.44,0.619,1.7500851498637602
2025-04-12 08:13:59,234.78,135.49,0.707,1.7328216104509557
2025-04-14 10:00:03,263.38,134.99,0.793,1.9511074894436624
2025-04-15 13:02:45,183.14,115.37,0.552,1.5874144058247377
2025-04-16 12:26:42,269.55,134.25,0.812,2.0078212290502795
2025-04-18 13:35:30,171.49,110.55,0.517,1.5512437810945274
2025-04-19 06:58:29,248.02,147.87,0.747,1.6772841008994388
2025-04-21 14:07:26,200.6,119.74,0.604,1.6752964756973443
2025-04-22 09:32:41,208.88,124.45,0.629,1.678425070309361
2025-04-29 12:06:48,242.59,132.98,0.731,1.8242592871108438
2025-04-30 13:31:34,227.32,128.46,0.685,1.7695780787793864
2025-05-01 10:54:28,238.73,144.32,0.719,1.6541712860310422
2025-05-04 12:23:27,205.72,122.05,0.62,1.68553871364195
2025-05-05 12:25:58,288.58,143.91,0.869,2.00528107845181
2025-05-06 10:35:49,201.46,123.92,0.607,1.6257262750161394
2025-05-08 14:02:36,237.19,131.96,0.714,1.7974386177629584
2025-05-09 08:17:07,233.23,129.13,0.702,1.8061643305196313
2025-05-10 12:57:45,197.46,119.3,0.595,1.6551550712489522
2025-05-11 11:39:45,185.23,124.46,0.558,1.4882693234774225
2025-05-13 12:35:54,222.39,132.84,0.67,1.6741192411924117
2025-05-13 13:52:09,159.94,115.95,0.482,1.379387667097887
2025-05-14 13:02:57,211.83,123.74,0.638,1.7118959107806693
2025-05-16 09:04:00,198.94,124.36,0.599,1.599710517851399
2025-05-17 09:55:12,162.35,105.88,0.489,1.5333396297695505
2025-05-18 05:00:36,269.94,161.76,0.813,1.6687685459940653
2025-05-27 12:56:41,263.48,142.71,0.794,1.846261649498984
2025-05-29 13:35:31,186.32,119.03,0.561,1.5653196673107619
2025-05-30 08:39:56,230.34,135.94,0.694,1.6944240105929087
2025-05-31 10:22:32,210.89,125.58,0.635,1.6793279184583532
2025-06-01 10:56:07,203.41,124.84,0.613,1.6293655879525792
2025-06-03 09:38:54,252.75,144.95,0.761,1.7437047257675062
2025-06-05 09:47:46,225.2,127.5,0.678,1.7662745098039214
2025-06-06 07:54:11,227.1,141.04,0.684,1.610181508791832
2025-06-07 09:02:24,196.94,117.84,0.593,1.6712491513917176
2025-06-10 08:23:12,247.66,147.02,0.746,1.6845327166371922
2025-06-16 18:29:25,184.56,124.15,0.556,1.4865888038662907
